,Ticker,Company,Title,Date,Time,Participant Name,Participant Type,Participant Organization
32,GME,['GameStop Corp. '],Q3 2020 Results - Earnings Call Transcript,"Dec.8,2020",10:10PM,Jim Bell , EVP & CFO,GameStop Corp. 
33,AMGN,['Amgen Inc. '],erence (Transcript),"Dec.8,2020",10:03PM,Arvind Sood ," VP, IR",Amgen Inc. 
34,AMGN,['Amgen Inc. '],erence (Transcript),"Dec.8,2020",10:03PM,Dr. David Reese ," Executive VP, R&D",Amgen Inc. 
35,AMGN,['Amgen Inc. '],erence (Transcript),"Dec.8,2020",10:03PM,Dr. Greg Friberg ," VP, Global Development and Oncology Therapeutic Area Head",Amgen Inc. 
36,AVAV,"[""AeroVironment, Inc.'s ""]","ent, Inc.'s (AVAV) CEO Wahid Nawabi on Q2 2021 Results - Earnings Call Transcript","Dec.8,2020",9:51,Steven Gitlin , Chief Marketing Officer and Vice President of Investor Relations,"AeroVironment, Inc. "
37,AVAV,"[""AeroVironment, Inc.'s ""]","ent, Inc.'s (AVAV) CEO Wahid Nawabi on Q2 2021 Results - Earnings Call Transcript","Dec.8,2020",9:51,Wahid Nawabi , President and Chief Executive Officer,"AeroVironment, Inc. "
38,AVAV,"[""AeroVironment, Inc.'s ""]","ent, Inc.'s (AVAV) CEO Wahid Nawabi on Q2 2021 Results - Earnings Call Transcript","Dec.8,2020",9:51,Kevin McDonnell , SVP and Chief Financial Officer,"AeroVironment, Inc. "
39,DELL,['Dell Technologies Inc. '], James Technology Investors Conference (Transcript),"Dec.8,2020",9:09,Matt Baker ," Senior Vice President, Strategy and Planning",Dell Technologies Inc. 
40,TMUS,"[""T-Mobile US, Inc.'s ""]",erence (Transcript),"Dec.8,2020",7:50,Mike Sievert , President & Chief Executive Officer,"T-Mobile US, Inc. "
41,BLK,"['BlackRock, Inc. ']",erence (Transcript),"Dec.8,2020",7:44,Gary Shedlin , Chief Financial Officer,"BlackRock, Inc. "
42,VMW,"['VMware, Inc. ']", James Technology Investors Conference (Transcript),"Dec.8,2020",7:14,Sanjay Poonen ," Chief Operating Officer, Customer Operations","VMware, Inc. "
43,VMW,"['VMware, Inc. ']", James Technology Investors Conference (Transcript),"Dec.8,2020",7:14,Richard Gu , Investor Relations,"VMware, Inc. "
44,MSFT,['Microsoft Corporation '],(MSFT) Management Presents at UBS Global TMT Virtual Conference (Transcript),"Dec.8,2020",7:02,Judson Althoff ," EVP, Worldwide Commercial Business",Microsoft Corporation 
45,MMP,"['Magellan Midstream Partners, L.P. ']","gellan Midstream Partners, L.P. (MMP) CEO Michael Mears Presents at Wells Fargo Midstream and Utility Symposium (Transcript)","Dec.8,2020",7:00,Michael Mears ," Chairman, President & Chief Executive Officer","Magellan Midstream Partners, L.P. "
46,ODC,['Oil-Dri Corporation of America '],of America (ODC) CEO Dan Jaffee on Q1 2021 Results - Earnings Call Transcript,"Dec.8,2020",5:47,Leslie Garber ," Manager, IR",Oil-Dri Corporation of America 
47,ODC,['Oil-Dri Corporation of America '],of America (ODC) CEO Dan Jaffee on Q1 2021 Results - Earnings Call Transcript,"Dec.8,2020",5:47,Laura Scheland , General Counsel and Secretary,Oil-Dri Corporation of America 
48,ODC,['Oil-Dri Corporation of America '],of America (ODC) CEO Dan Jaffee on Q1 2021 Results - Earnings Call Transcript,"Dec.8,2020",5:47,Dan Jaffee , President and CEO,Oil-Dri Corporation of America 
49,ODC,['Oil-Dri Corporation of America '],of America (ODC) CEO Dan Jaffee on Q1 2021 Results - Earnings Call Transcript,"Dec.8,2020",5:47,Molly VandenHeuvel , COO,Oil-Dri Corporation of America 
50,ODC,['Oil-Dri Corporation of America '],of America (ODC) CEO Dan Jaffee on Q1 2021 Results - Earnings Call Transcript,"Dec.8,2020",5:47,Susan Kreh , CFO,Oil-Dri Corporation of America 
51,ODC,['Oil-Dri Corporation of America '],of America (ODC) CEO Dan Jaffee on Q1 2021 Results - Earnings Call Transcript,"Dec.8,2020",5:47,Jessica Moskowitz ," VP, General Manager, Consumer Products Division",Oil-Dri Corporation of America 
52,ODC,['Oil-Dri Corporation of America '],of America (ODC) CEO Dan Jaffee on Q1 2021 Results - Earnings Call Transcript,"Dec.8,2020",5:47,Fred Kao ," VP, Global Sales, Amlan International",Oil-Dri Corporation of America 
53,AZO,"['AutoZone, Inc. ']",", Inc. (AZO) CEO William Rhodes on Q1 2021 Results - Earnings Call Transcript","Dec.8,2020",5:17,William Rhodes ," Chairman, President and Chief Executive Officer","AutoZone, Inc. "
54,AZO,"['AutoZone, Inc. ']",", Inc. (AZO) CEO William Rhodes on Q1 2021 Results - Earnings Call Transcript","Dec.8,2020",5:17,William Giles , Executive Vice President and Chief Financial Officer,"AutoZone, Inc. "
55,AZO,"['AutoZone, Inc. ']",", Inc. (AZO) CEO William Rhodes on Q1 2021 Results - Earnings Call Transcript","Dec.8,2020",5:17,Jamere Jackson , Executive Vice President and Chief Financial Officer-elect,"AutoZone, Inc. "
56,SGU,"['Star Group, L.P. ']",Q4 2020 Results - Earnings Call Transcript,"Dec.8,2020",5:09,Chris Witty , Investor Relations,"Star Group, L.P. "
57,SGU,"['Star Group, L.P. ']",Q4 2020 Results - Earnings Call Transcript,"Dec.8,2020",5:09,Jeff Woosnam , Chief Executive Officer,"Star Group, L.P. "
58,SGU,"['Star Group, L.P. ']",Q4 2020 Results - Earnings Call Transcript,"Dec.8,2020",5:09,Rich Ambury , Chief Financial Officer,"Star Group, L.P. "
59,KKR,['KKR & Co. Inc. '],erence (Transcript),"Dec.8,2020",4:34,Scott Nuttall , Co-President and Co-COO,KKR & Co. Inc. 
60,CONN,"[""Conn's, Inc. ""]","'s, Inc. (CONN) CEO Norm Miller on Q3 2021 Results - Earnings Call Transcript","Dec.8,2020",4:31,Norm Miller , CEO,"Conn's, Inc. "
61,CONN,"[""Conn's, Inc. ""]","'s, Inc. (CONN) CEO Norm Miller on Q3 2021 Results - Earnings Call Transcript","Dec.8,2020",4:31,Lee Wright , COO,"Conn's, Inc. "
62,CONN,"[""Conn's, Inc. ""]","'s, Inc. (CONN) CEO Norm Miller on Q3 2021 Results - Earnings Call Transcript","Dec.8,2020",4:31,George Bchara , CFO,"Conn's, Inc. "
63,VIAC,"['ViacomCBS, Inc. ']",erence Call - (Transcript),"Dec.8,2020",3:57,Bob Bakish ," President, CEO & Director","ViacomCBS, Inc. "
64,CRWD,"[""CrowdStrike Holdings, Inc.'s ""]",erence (Transcript),"Dec.8,2020",3:39,Burt Podbere , Chief Financial Officer,"CrowdStrike Holdings, Inc. "
65,JW.A,"['John Wiley & Sons, Inc. ']",", Inc. (JW.A) CEO Brian Napack on Q2 2021 Results - Earnings Call Transcript","Dec.8,2020",3:26,Brian Campbell , Vice President of Investor Relations,"John Wiley & Sons, Inc. "
66,JW.A,"['John Wiley & Sons, Inc. ']",", Inc. (JW.A) CEO Brian Napack on Q2 2021 Results - Earnings Call Transcript","Dec.8,2020",3:26,Brian Napack , President & Chief Executive Officer,"John Wiley & Sons, Inc. "
67,JW.A,"['John Wiley & Sons, Inc. ']",", Inc. (JW.A) CEO Brian Napack on Q2 2021 Results - Earnings Call Transcript","Dec.8,2020",3:26,John Kritzmacher , Chief Financial Officer,"John Wiley & Sons, Inc. "
